Timestamp,Electricity_Consumed,Temperature,Humidity,Wind_Speed,Avg_Past_Consumption,Solar_Output (kWh),EV_Surge (kWh),Net_Grid_Load (kWh)
2024-01-01 00:00:00,0.4577856921685388,0.4695244570873399,0.396368359257516,0.4454405995287692,0.6920572106888903,0.0,0.0,0.4578
2024-01-01 00:30:00,0.3519559498048026,0.465544774647693,0.4511844131507186,0.4587292864514259,0.5398737357685197,0.0,0.0,0.352
2024-01-01 01:00:00,0.4829480896834488,0.2854149899096556,0.4082889696883288,0.4703604126532033,0.6147239609016935,0.0,0.0,0.4829
2024-01-01 01:30:00,0.6288383094013377,0.4820950872260694,0.5123083968413018,0.5762413871285659,0.7570443519489565,0.0,0.0,0.6288
2024-01-01 02:00:00,0.3359744375461106,0.6247409477827948,0.672020667986486,0.373003790710542,0.6739809494299462,0.0,0.0,0.336
2024-01-01 02:30:00,0.3359771738418032,0.3553893805248106,0.3827674233473963,0.3611112631214694,0.6186066593509736,0.0,0.0,0.336
2024-01-01 03:00:00,0.6382021359178986,0.6671022786402212,0.6431635389634667,0.6110035112450067,0.7032251286145852,0.0,0.0,0.6382
2024-01-01 03:30:00,0.5029057881921515,0.5918541832121293,0.3812052319319284,0.4071437878954785,0.7180498459460256,0.0,0.0,0.5029
2024-01-01 04:00:00,0.2967542690108413,0.4278582829443013,0.3715123461699398,0.3111214145652017,0.6637031862059055,0.0,0.0,0.2968
2024-01-01 04:30:00,0.4654266739309941,0.507400285103508,0.6163832966938054,0.4044462521445039,0.668736139419124,0.0,0.0,0.4654
2024-01-01 05:00:00,0.2977637178645896,0.7408917766889805,0.6315705871550474,0.4230507700313165,0.6227137272516767,0.0,0.0,0.2978
2024-01-01 05:30:00,0.2973783744049572,0.6248374029907721,0.6212058947803161,0.6491949249897804,0.6070171850669099,0.0,0.0,0.2974
2024-01-01 06:00:00,0.4153270452610057,0.5275726250527567,0.3027092140111161,0.5735978317184226,0.587569333663128,1.2,0.0,-0.7847
2024-01-01 06:30:00,0.0561199592237003,0.4944962718663833,0.4276041705513646,0.6003143435209295,0.4228552056042471,1.662,0.0,-1.6059
2024-01-01 07:00:00,0.0875136945811612,0.5366749294424203,0.6170290429484833,0.5610187328672708,0.351397752526936,1.9224,0.0,-1.8349
2024-01-01 07:30:00,0.2812854117931712,0.4577141635631019,0.502186225943571,0.5761672712355047,0.3356683701960745,2.2705,0.0,-1.9892
2024-01-01 08:00:00,0.2061948132775961,0.2439323110408615,0.3382893349355171,0.3800982024027808,0.211422814869135,3.114,0.0,-2.9078
2024-01-01 08:30:00,0.4273745554325456,0.8004581401351554,0.5634363893500474,0.4388208158967799,0.1896999887341737,3.2326,0.0,-2.8052
2024-01-01 09:00:00,0.2236626540797981,0.5472387621580745,0.3910318049007188,0.3438874591873976,0.1686787980947466,4.8586,0.0,-4.6349
2024-01-01 09:30:00,0.1396160497774514,0.5798259886274272,0.7598077547424569,0.4373948747031249,0.0749754745446533,5.3591,0.0,-5.2195
2024-01-01 10:00:00,0.6192747948202592,0.5186225071436685,0.7231138362486436,0.5447186536570369,0.1674422458391291,6.3426,0.0,-5.7233
2024-01-01 10:30:00,0.3373706165855774,0.4277397183550394,0.5848604044146706,0.4787928698618097,0.178944037772035,6.2987,0.0,-5.9613
2024-01-01 11:00:00,0.3862547007813206,0.5014424096289476,0.6960971503479358,0.6199845489546189,0.1705828147204016,8.2391,0.0,-7.8528
2024-01-01 11:30:00,0.1375419689644239,0.3117519132177642,0.5056030155928668,0.3257120391346944,0.1939998317150295,8.6687,0.0,-8.5312
2024-01-01 12:00:00,0.2842695459124695,0.8319833353719326,0.6085712303576893,0.5226602850132979,0.2505869281167205,8.8415,0.0,-8.5572
2024-01-01 12:30:00,0.3934870982849776,0.3607198989689663,0.7132495890711088,0.3128888698045776,0.2828561979096329,7.6429,0.0,-7.2494
2024-01-01 13:00:00,0.1831677370962828,0.3879019328988726,0.5321600893593184,0.4739452888436899,0.2762335975096734,8.4151,0.0,-8.2319
2024-01-01 13:30:00,0.4376163363909453,0.4673101886805368,0.458578397807652,0.5514643442911628,0.2791791396244139,7.2622,0.0,-6.8246
2024-01-01 14:00:00,0.2748935516801992,0.6992561411650795,0.2455668603501614,0.436913253234203,0.2939131753425057,7.3137,0.0,-7.0388
2024-01-01 14:30:00,0.3263843750344538,0.5283409775459348,0.4838637103672257,0.5287653177230948,0.3476278534808665,8.18,0.0,-7.8536
2024-01-01 15:00:00,0.2747155646284339,0.3605019821309313,0.6170929114508883,0.3475084926649122,0.2485324200132941,7.7497,0.0,-7.475
2024-01-01 15:30:00,0.6837130307514896,0.6947285204377776,0.6350531480859927,0.2630551237073059,0.3481406982209889,7.5098,0.0,-6.8261
2024-01-01 16:00:00,0.3727504625436777,0.6244955655147016,0.5702035577120343,0.5294734992389433,0.3442568715097918,5.5792,0.0,-5.2064
2024-01-01 16:30:00,0.1987148451740166,0.5986528732862432,0.4165308760706522,0.671874838980069,0.3618502260139589,4.9552,0.0,-4.7565
